total_bill,tip, gender,smoker,day,time,size, tip_percentage
16.99,1.01,Female,No,Sun,Dinner,2,5.9%
10.34,1.66,Male,No,Sun,Dinner,3,16.1%
21.01,3.5,Male,No,Sun,Dinner,3,16.7%
23.68,3.31,Male,No,Sun,Dinner,2,14.0%
24.59,3.61,Female,No,Sun,Dinner,4,14.7%
25.29,4.71,Male,No,Sun,Dinner,4,18.6%
8.77,2,Male,No,Sun,Dinner,2,22.8%
26.88,3.12,Male,No,Sun,Dinner,4,11.6%
15.04,1.96,Male,No,Sun,Dinner,2,13.0%
14.78,3.23,Male,No,Sun,Dinner,2,21.9%
10.27,1.71,Male,No,Sun,Dinner,2,16.7%
35.26,5,Female,No,Sun,Dinner,4,14.2%
15.42,1.57,Male,No,Sun,Dinner,2,10.2%
18.43,3,Male,No,Sun,Dinner,4,16.3%
14.83,3.02,Female,No,Sun,Dinner,2,20.4%
21.58,3.92,Male,No,Sun,Dinner,2,18.2%
10.33,1.67,Female,No,Sun,Dinner,3,16.2%
16.29,3.71,Male,No,Sun,Dinner,3,22.8%
16.97,3.5,Female,No,Sun,Dinner,3,20.6%
20.65,3.35,Male,No,Sat,Dinner,3,16.2%
17.92,4.08,Male,No,Sat,Dinner,2,22.8%
20.29,2.75,Female,No,Sat,Dinner,2,13.6%
15.77,2.23,Female,No,Sat,Dinner,2,14.1%
39.42,7.58,Male,No,Sat,Dinner,4,19.2%
19.82,3.18,Male,No,Sat,Dinner,2,16.0%
17.81,2.34,Male,No,Sat,Dinner,4,13.1%
13.37,2,Male,No,Sat,Dinner,2,15.0%
12.69,2,Male,No,Sat,Dinner,2,15.8%
21.7,4.3,Male,No,Sat,Dinner,2,19.8%
19.65,3,Female,No,Sat,Dinner,2,15.3%
9.55,1.45,Male,No,Sat,Dinner,2,15.2%
18.35,2.5,Male,No,Sat,Dinner,4,13.6%
15.06,3,Female,No,Sat,Dinner,2,19.9%
20.69,2.45,Female,No,Sat,Dinner,4,11.8%
17.78,3.27,Male,No,Sat,Dinner,2,18.4%
24.06,3.6,Male,No,Sat,Dinner,3,15.0%
16.31,2,Male,No,Sat,Dinner,3,12.3%
16.93,3.07,Female,No,Sat,Dinner,3,18.1%
18.69,2.31,Male,No,Sat,Dinner,3,12.4%
31.27,5,Male,No,Sat,Dinner,3,16.0%
16.04,2.24,Male,No,Sat,Dinner,3,14.0%
17.46,2.54,Male,No,Sun,Dinner,2,14.5%
13.94,3.06,Male,No,Sun,Dinner,2,22.0%
9.68,1.32,Male,No,Sun,Dinner,2,13.6%
30.4,5.6,Male,No,Sun,Dinner,4,18.4%
18.29,3,Male,No,Sun,Dinner,2,16.4%
22.23,5,Male,No,Sun,Dinner,2,22.5%
32.4,6,Male,No,Sun,Dinner,4,18.5%
28.55,2.05,Male,No,Sun,Dinner,3,7.2%
18.04,3,Male,No,Sun,Dinner,2,16.6%
12.54,2.5,Male,No,Sun,Dinner,2,19.9%
10.29,2.6,Female,No,Sun,Dinner,2,25.3%
34.81,5.2,Female,No,Sun,Dinner,4,14.9%
9.94,1.56,Male,No,Sun,Dinner,2,15.7%
25.56,4.34,Male,No,Sun,Dinner,4,17.0%
19.49,3.51,Male,No,Sun,Dinner,2,18.0%
38.01,3,Male,Yes,Sat,Dinner,4,7.9%
26.41,1.5,Female,No,Sat,Dinner,2,5.7%
11.24,1.76,Male,Yes,Sat,Dinner,2,15.7%
48.27,6.73,Male,No,Sat,Dinner,4,13.9%
20.29,3.21,Male,Yes,Sat,Dinner,2,15.8%
13.81,2,Male,Yes,Sat,Dinner,2,14.5%
11.02,1.98,Male,Yes,Sat,Dinner,2,18.0%
18.29,3.76,Male,Yes,Sat,Dinner,4,20.6%
17.59,2.64,Male,No,Sat,Dinner,3,15.0%
20.08,3.15,Male,No,Sat,Dinner,3,15.7%
16.45,2.47,Female,No,Sat,Dinner,2,15.0%
3.07,1,Female,Yes,Sat,Dinner,1,32.6%
20.23,2.01,Male,No,Sat,Dinner,2,9.9%
15.01,2.09,Male,Yes,Sat,Dinner,2,13.9%
12.02,1.97,Male,No,Sat,Dinner,2,16.4%
17.07,3,Female,No,Sat,Dinner,3,17.6%
26.86,3.14,Female,Yes,Sat,Dinner,2,11.7%
25.28,5,Female,Yes,Sat,Dinner,2,19.8%
14.73,2.2,Female,No,Sat,Dinner,2,14.9%
10.51,1.25,Male,No,Sat,Dinner,2,11.9%
17.92,3.08,Male,Yes,Sat,Dinner,2,17.2%
27.2,4,Male,No,Thur,Lunch,4,14.7%
22.76,3,Male,No,Thur,Lunch,2,13.2%
